CountyID,County,stateID,,CountyID,CountyStateID
695,Caroline,21,,695,Caroline21
696,Carroll,21,,696,Carroll21
697,Cecil,21,,697,Cecil21
698,Charles,21,,698,Charles21
699,Dorchester,21,,699,Dorchester21
700,Frederick,21,,700,Frederick21
701,Garrett,21,,701,Garrett21
702,Harford,21,,702,Harford21
703,Howard,21,,703,Howard21
704,Kent,21,,704,Kent21
705,Montgomery,21,,705,Montgomery21
706,Prince Georges,21,,706,Prince Georges21
707,Queen Annes,21,,707,Queen Annes21
708,Saint Marys,21,,708,Saint Marys21
709,Somerset,21,,709,Somerset21
710,Talbot,21,,710,Talbot21
711,Washington,21,,711,Washington21
712,Wicomico,21,,712,Wicomico21
713,Worcester,21,,713,Worcester21
714,Androscoggin,22,,714,Androscoggin22
715,Aroostook,22,,715,Aroostook22
716,Cumberland,22,,716,Cumberland22
717,Franklin,22,,717,Franklin22
718,Kennebec,22,,718,Kennebec22
719,Knox,22,,719,Knox22
720,Lincoln,22,,720,Lincoln22
721,Penobscot,22,,721,Penobscot22
722,Sagadahoc,22,,722,Sagadahoc22
723,Somerset,22,,723,Somerset22
724,Waldo,22,,724,Waldo22
725,Washington,22,,725,Washington22
726,York,22,,726,York22
727,Alger,23,,727,Alger23
728,Allegan,23,,728,Allegan23
729,Alpena,23,,729,Alpena23
730,Antrim,23,,730,Antrim23
731,Arenac,23,,731,Arenac23
732,Barry,23,,732,Barry23
733,Bay,23,,733,Bay23
734,Benzie,23,,734,Benzie23
735,Berrien,23,,735,Berrien23
736,Branch,23,,736,Branch23
737,Calhoun,23,,737,Calhoun23
738,Cass,23,,738,Cass23
739,Charlevoix,23,,739,Charlevoix23
740,Cheboygan,23,,740,Cheboygan23
741,Chippewa,23,,741,Chippewa23
742,Clare,23,,742,Clare23
743,Clinton,23,,743,Clinton23
744,Delta,23,,744,Delta23
745,Eaton,23,,745,Eaton23
746,Emmet,23,,746,Emmet23
747,Genesee,23,,747,Genesee23
748,Gladwin,23,,748,Gladwin23
749,Grand Traverse,23,,749,Grand Traverse23
750,Gratiot,23,,750,Gratiot23
751,Hillsdale,23,,751,Hillsdale23
752,Houghton,23,,752,Houghton23
753,Ingham,23,,753,Ingham23
